"clock","k_datasets","total_n","age_r","age_r_lo","age_r_hi","age_slope","age_slope_lo","age_slope_hi","sex_coef","sex_coef_lo","sex_coef_hi","sex_frac_sig","age_x_sex","age_x_sex_lo","age_x_sex_hi","age_x_sex_frac_sig"
"AdaptAge",136,36059,0.515,-0.181,0.868,0.5128,0.0257,0.9999,-0.6251,-5.9664,4.7162,0.31,-0.02105,-0.19102,0.14892,0.16
"Age_prediction",136,36059,0.864,0.382,0.976,0.9486,0.4398,1.4574,0.1942,-2.8754,3.2637,0.38,-0.0195,-0.1139,0.0749,0.13
"Blood",136,36059,0.566,-0.001,0.858,0.7088,0.1737,1.2439,-1.7045,-7.7022,4.2931,0.38,-0.07315,-0.29526,0.14896,0.25
"Brain",136,36059,0.414,-0.11,0.758,0.5705,0.0302,1.1109,-0.4693,-6.2425,5.3038,0.33,-0.08975,-0.34445,0.16494,0.24
"CausAge",136,36059,0.834,0.264,0.972,0.7659,0.3324,1.1995,-0.3135,-2.0665,1.4396,0.2,-0.02276,-0.12752,0.08199,0.19
"CellDRIFT",135,35836,0.286,-0.111,0.605,0.0326,-0.0046,0.0697,0.1112,-0.5137,0.7362,0.39,0.00394,-0.01638,0.02425,0.18
"CellPopAge",135,35836,0.089,-0.143,0.312,0.003,-0.0024,0.0084,0.0491,-0.0295,0.1278,0.27,0.00142,-0.00286,0.0057,0.14
"DamAge",136,36059,0.671,-0.062,0.934,0.7492,0.1584,1.34,0.4671,-3.4773,4.4114,0.24,0.01187,-0.15689,0.18064,0.18
"DNAmADM",136,35221,0.627,0.03,0.895,1.3824,0.8654,1.8994,17.972,0.4934,35.4507,0.8,-0.11778,-0.40032,0.16476,0.26
"DNAmB2M",136,35221,0.824,0.255,0.969,12928.125,9748.2905,16107.9595,5860.7669,-23028.2947,34749.8286,0.33,-433.3537,-1988.9006,1122.19321,0.13
"DNAmFEV1_wAge",135,35836,-0.65,-0.914,0.001,-0.0264,-0.0306,-0.0222,-1.0657,-1.7591,-0.3723,0.99,0.008,0.0051,0.01091,0.71
"DNAmFI_Li",135,35836,0.504,-0.054,0.822,0.002,0.0011,0.0029,9e-04,-0.0104,0.0121,0.22,-1e-04,-0.00092,0.00073,0.18
"DNAmFitAge",135,35836,0.89,0.516,0.979,0.9086,0.6614,1.1558,-0.9319,-9.7672,7.9034,0.64,0.01578,-0.09623,0.1278,0.18
"DNAmGait_noAge",135,35836,-0.705,-0.941,-0.004,-0.0098,-0.0168,-0.0028,0.0086,-0.3107,0.328,0.8,-0.00236,-0.00531,0.00059,0.43
"DNAmGait_wAge",135,35836,-0.92,-0.99,-0.495,-0.0152,-0.0159,-0.0146,-0.162,-0.2874,-0.0366,1,0.00078,-0.00015,0.00172,0.38
